Day,Class,"I
 09:00 - 10:00",Unnamed: 3,Unnamed: 4,"II
 10:05 - 11:05",Unnamed: 6,Unnamed: 7,11:05 - 11:25,"III
 11:25 - 12:25",Unnamed: 10,Unnamed: 11,"IV
 12:30 - 01:30",Unnamed: 13,Unnamed: 14,"V
 01:35 - 02:35",Unnamed: 16,Unnamed: 17,"VI
 02:40 - 03:40",Unnamed: 19,Unnamed: 20,"VII
 03.40 - 04.40",Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
,BTECH CSE-2A GP1,OS,SJK,ET-302,COA LAB,KP,ETCC-407,,MATHS IV,PK,ET-101,Lunch Break,,,DAA,ALM,ET-202,,,,,,,,,,,
,BTECH CSE-2A GP2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BTECH CSE-2B GP 1,DAA,NVG,ET-303,OS,SJK,ET-303,,,,,Lunch Break,,,EVS,APS,ET-203,COA LAB,KMK,ETCC-407,,,,,,,,
,BTECH CSE-2B GP 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BTECH CSE 2C GP1,COA LAB,KP,ETCC-407,MATHS IV,HPK,ET-201,,OS LAB,HSD,ETCC-407,DAA LAB,PNT,ETCC-507,Lunch Break,,,COA,APK,ET-102,,,,,,,,
,BTECH CSE 2C GP2,,,,,,,,DAA LAB,PNT,ETCC-507,OS LAB,HSD,ETCC-407,,,,,,,,,,,,,,
,BTECH CSE 3A GP1,CD,ALM,ET-202,PDD,SKG,ET-202,,MAD,SNK,ET-302,Lunch Break,,,GP1( MERN )PRT-ETCC-304 GP 1(MOBILE DEVELOPMENT) -ISK ETCC-507 GP1 (UX/UI)-GVA- ETCC-407 LIVE PROJECT-SHK-LANG LAB,,,CC,SHG,ET-103,,,,,,,,
,BTECH CSE 3A GP2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BTECH CSE 3B GP2,CC,PRB,ET-203,CD,ALM,ET-203,,MAD,SNT,ET-403,Lunch Break,,,,,,AI LAB,SRB,ETCC-206,CD LAB,ALM,ETCC-304,,,,,
,BTECH CSE 3B GP2,,,,,,,,,,,,,,,,,CD LAB,ALM,ETCC-304,AI LAB,SRB,ETCC-206,,,,,
,BTECH CSE 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MBA 1A,,,,,,,,,,,,JSL,,,,,,,,,,,,,,,
,MBA 1B,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MBA 1C,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BHMCT 1,,,,,,,,,AKG,,,,,,,,,,,,,,,,,,
,BHMCT 4,,,,,,,,,,,,,,,,,,,,,AKG,,,,,,
,B.Pharma 1A,,HSK,,,,,,,,,,,,,,,,,,,,,,,,,
,B.Pharma 1B,,,,,JHN,,,,,,,,,,,,,,,,,,,,,,
THURSDAY,BCA-1A,CSA,SMB,ET-401,MATHS LAB,RPK,ETCC-407,TEA BREAK,,,,C++,AKG,ET-201,,,,,,,,,,,,,,
,BCA-1B,CSA,APK,ET-201,MATHS,DMK,ET-201,,C++ LAB,PRS,MTCL-2,C++ LAB,PRS,MTCL-2,,,,,,,,,,,,,,
,BCA-1C,MATHS,ARM,ET-202,BMPD,APK,ET-202,,C++,HMK,ET-301,CSA,KMK,ET-301,,,,EVS,SONIA,ET-201,,,,,,,,
,BCA-1D,MATHS,DMK,ET-402,C++,HJK,ET-402,,C++ LAB,SMB,MTCL-3,C++ LAB,SMB,MTCL-3,,,,,,,,,,,,,,
,BCA-1E,CSA LAB,SJK,MTCL-2,CSA LAB,SJK,MTCL-2,,MATHS LAB,HPK,ETCC-304,Lunch Break,,,C++,PRB,ET-101,,,,,,,,,,,
,BCA-1F,C++,SNL,ET-203,C++,SNL,ET-203,,,,,Lunch Break,,,,,,,,,,,,,,,,
,BCA-2A,DBMS,CND,ET-503,BMPD,PRJ,ET-503,,WD,PRT,ET-203,SE,PRJ,ET-203,Lunch Break,,,DBMS LAB,CND,HMCL,DBMS LAB,CND,HMCL,,,,,
,BCA-2B,SE LAB,GVA,MTCL-3,SE LAB,GVA,MTCL-3,,WD LAB,ANK,HMCL,WD LAB,ANK,HMCL,Lunch Break,,,WD,ANK,ET-101,SE,GVA,ET-101,,,,,
,BCA-2C,OS,PRB,ET-502,,,,,DBMS,AKG,ET-302,SE,GVA,ET-302,Lunch Break,,,SE LAB,KMK,ETCC-304,SE LAB,KMK,ETCC-304,,,,,
,BCA-2D,DBMS LAB,PRT,HMCL,DBMS LAB,PRT,HMCL,,OS,NRN,ET-401,Lunch Break,,,WD LAB,HSK,MTCL-2,,,,OS LAB,NRN,PHCL,,,,,
,BCA-2E,OS,ANK,ET-302,DBMS,NRN,ET-302,,WD,ISK,ET-501,Lunch Break,,,SE LAB,PRJ,MTCL-3,SE LAB,PRJ,MTCL-3,,,,,,,,
